id,name,type,tags,status,year,location,image_dir,featured_ext,sort_priority,notes
cr10,Glass Garden,custom-residential,custom-residential,published,,"Markham, ON",images/projectsImages/customReisdential/cr10/,jpg,,
cr09,House of Generations,custom-residential,custom-residential,published,,"East York, Toronto, ON",images/projectsImages/customReisdential/cr09/,jpg,,
cr08,Elevate One,custom-residential,custom-residential,published,,"Scarborough, Toronto, ON",images/projectsImages/customReisdential/cr08/,jpg,,
cr07,Fairfield,custom-residential,custom-residential,coming-soon,,,images/projectsImages/customReisdential/cr07/,jpg,,
cr06,Brawley,custom-residential,custom-residential,published,,"Toronto, ON",images/projectsImages/customReisdential/cr06/,jpg,,
cr05,Elevation Escape,custom-residential,custom-residential,published,,"Kawartha Lakes, ON",images/projectsImages/customReisdential/cr05/,jpg,,
cr04,House of Comfort,custom-residential,custom-residential,published,,"Toronto, ON",images/projectsImages/customReisdential/cr04/,jpg,,
cr03,House of Circulation,custom-residential,custom-residential,published,,"Toronto, ON",images/projectsImages/customReisdential/cr03/,jpg,,
cr02,Island House,custom-residential,custom-residential,published,,"Toronto, ON",images/projectsImages/customReisdential/cr02/,JPG,,
cr01,Angle House,custom-residential,custom-residential,published,,"Toronto, ON",images/projectsImages/customReisdential/cr01/,jpg,,
muc10,Family Dentistree,commercial,commercial,coming-soon,,,images/projectsImages/MultiUnit-Commercial-MixedUse/muc10/,jpg,,
muc09,Light Breeze,multi-unit,multi-unit,published,,"Toronto, ON",images/projectsImages/MultiUnit-Commercial-MixedUse/muc09/,jpg,,
muc08,Crazy Burger,commercial,commercial,published,,"Toronto, ON",images/projectsImages/MultiUnit-Commercial-MixedUse/muc08/,jpg,,
muc07,Skyward,multi-unit,multi-unit,coming-soon,,,images/projectsImages/MultiUnit-Commercial-MixedUse/muc07/,jpg,,
muc06,SpaceWise,multi-unit,multi-unit,coming-soon,,,images/projectsImages/MultiUnit-Commercial-MixedUse/muc06/,jpg,,
muc05,Missing Middle,multi-unit,multi-unit,published,,"Toronto, ON",images/projectsImages/MultiUnit-Commercial-MixedUse/muc05/,jpg,,
muc04,Etihad Museum,commercial,commercial,coming-soon,,"Dubai, UAE",images/projectsImages/MultiUnit-Commercial-MixedUse/muc04/,jpg,,
muc03,Discovery Centre,commercial,commercial,coming-soon,,"Dubai, UAE",images/projectsImages/MultiUnit-Commercial-MixedUse/muc03/,jpg,,
muc02,Park 1,commercial,commercial,coming-soon,,,images/projectsImages/MultiUnit-Commercial-MixedUse/muc02/,jpg,,
muc01,Ocean View,multi-unit,multi-unit,coming-soon,,,images/projectsImages/MultiUnit-Commercial-MixedUse/muc01/,jpg,,
ai08,Manta Facebook,art-installation,art-installation,published,,"Toronto, ON",images/projectsImages/artInstallation/ai08/,jpg,,
ai07,Hyperbolica Parabola,art-installation,art-installation,published,,"Stockholm, Sweden",images/projectsImages/artInstallation/ai07/,jpg,,
ai06,Tunel,art-installation,art-installation,published,,"Luleå, Sweden",images/projectsImages/artInstallation/ai06/,jpg,,
ai05,Tempo Vancouver,art-installation,art-installation,published,,"Vancouver, BC",images/projectsImages/artInstallation/ai05/,jpg,,
ai04,V-Bookshelf,art-installation,art-installation,published,,"Stockholm, Sweden",images/projectsImages/artInstallation/ai04/,JPG,,
ai03,Stripe,art-installation,art-installation,published,,"Luleå, Sweden",images/projectsImages/artInstallation/ai03/,jpg,,
ai02,Honeycomb,art-installation,art-installation,published,,"Luleå, Sweden",images/projectsImages/artInstallation/ai02/,jpg,,
ai01,Kinetic Facade,art-installation,art-installation,published,,"Stockholm, Sweden",images/projectsImages/artInstallation/ai01/,jpg,,
